  PID   TT  STAT      TIME COMMAND
    1   ??  Ss   131:41.85 /sbin/launchd
  320   ??  Ss    73:32.78 /usr/libexec/logd
  322   ??  Ss     2:29.67 /usr/libexec/UserEventAgent (System)
  324   ??  Ss    42:24.21 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
  325   ??  Ss     1:26.69 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
  328   ??  Ss     1:13.25 /usr/sbin/systemstats --daemon
  331   ??  Ss     3:34.37 /usr/libexec/configd
  333   ??  Ss     5:31.48 /System/Library/CoreServices/powerd.bundle/powerd
  334   ??  Ss     0:00.04 /usr/libexec/IOMFB_bics_daemon
  342   ??  Ss     0:00.02 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd_system
  344   ??  Ss     0:33.76 /usr/libexec/watchdogd
  348   ??  Ss   224:28.14 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Support/mds
  350   ??  Ss     0:01.33 /usr/libexec/kernelmanagerd
  351   ??  Ss     0:57.51 /usr/libexec/diskarbitrationd
  355   ??  Ss     0:25.06 /usr/sbin/syslogd
  358   ??  Ss     2:05.69 /usr/libexec/thermalmonitord
  359   ??  Ss    22:50.62 /usr/libexec/opendirectoryd
  361   ??  Ss     3:02.85 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
  362   ??  Ss    15:03.67 /System/Library/CoreServices/launchservicesd
  363   ??  Ss     0:22.49 /usr/libexec/timed
  364   ??  Ss     0:02.71 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd -launchd
  365   ??  Ss     1:07.76 /usr/sbin/securityd -i
  367   ??  Ss    25:46.90 /usr/libexec/locationd
  370   ??  Ss     0:00.04 autofsd
  371   ??  Ss    80:48.13 /usr/libexec/dasd
  373   ??  Ss     3:16.35 /usr/sbin/distnoted daemon
  377   ??  Ss     0:05.24 /System/Library/CoreServices/logind
  378   ??  Ss     0:01.11 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
  379   ??  Ss     0:00.03 /usr/sbin/KernelEventAgent
  382   ??  Ss    55:43.73 /usr/sbin/bluetoothd
  383   ??  Ss    15:14.79 /usr/sbin/notifyd
  385   ??  Ss     7:47.02 /usr/libexec/corebrightnessd --launchd
  386   ??  Ss     0:32.88 /usr/libexec/AirPlayXPCHelper
  387   ??  Ss     0:49.24 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/com.apple.cmio.registerassistantservice
  390   ??  Ss   1018:05.30 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
  391   ??  Ss    10:47.64 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd system
  392   ??  Ss    17:47.11 /usr/sbin/cfprefsd daemon
  393   ??  Ss    16:05.36 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow console
  396   ??  Ss    90:34.13 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsd
  397   ??  Ss    25:57.59 /usr/libexec/runningboardd
  398   ??  Ss     9:56.81 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
  399   ??  Ss     0:48.14 /System/Library/CoreServices/coreservicesd
  400   ??  Ss     4:58.82 /usr/libexec/lsd runAsRoot
  408   ??  Ss     0:53.64 /usr/libexec/nsurlsessiond --privileged
  410   ??  Ss    37:53.03 /usr/libexec/airportd
  412   ??  Ss     0:45.62 /usr/libexec/apfsd
  415   ??  Ss     0:01.21 /System/Library/Frameworks/CoreMediaIO.framework/Resources/VDC.plugin/Contents/Resources/VDCAssistant
  418   ??  Ss    70:38.86 /usr/sbin/coreaudiod
  421   ??  S      0:34.18 /usr/sbin/distnoted agent
  422   ??  Ss     0:20.55 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
  425   ??  Ss     0:05.90 /usr/libexec/eligibilityd
  434   ??  S      0:32.36 /usr/sbin/distnoted agent
  447   ??  Ss     7:03.25 /usr/libexec/symptomsd
  448   ??  S      0:32.23 /usr/sbin/distnoted agent
  450   ??  Ss     9:57.83 /usr/sbin/mDNSResponder
  466   ??  Ss     0:27.77 /usr/sbin/mDNSResponderHelper
  488   ??  Ss     0:00.10 /usr/libexec/ApplicationFirewall/socketfilterfw
  501   ??  S      0:31.91 /usr/sbin/distnoted agent
  506   ??  Ss     3:25.08 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdated
  507   ??  Ss     9:17.78 /usr/libexec/syspolicyd
  510   ??  Ss     0:35.54 Core Audio Driver (MSTeamsAudioDevice.driver)
  512   ??  Ss     1:30.39 /usr/sbin/WirelessRadioManagerd
  513   ??  Ss     9:55.98 /usr/libexec/audioclocksyncd
  517   ??  Ss    10:32.61 /usr/libexec/cameracaptured
  518   ??  Ss     4:30.86 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/UVCAssistant.systemextension/Contents/MacOS/UVCAssistant
  521   ??  Ss     0:01.94 /Applications/FileZilla Server.app/Contents/MacOS/filezilla-server --config-dir=/Library/Preferences/org.filezilla-project.filezilla-server.service
  523   ??  S      0:31.20 /usr/sbin/distnoted agent
  529   ??  Ss     0:54.99 /usr/libexec/modelmanagerd
  530   ??  Ss     0:02.07 /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
  531   ??  S      0:31.55 /usr/sbin/distnoted agent
  543   ??  Ss     0:07.99 /System/Library/CoreServices/appleeventsd --server
